Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
Hena,Lucian,ADC,17,1,0,9,Perfect KDA,357,28,,9.3,16697,435,22.9%,52,17,17,5,5,1.35,0.44,0.13,0.44,13.5%,30564,22467,7093,1004,796,38.3%,0.26,66.7%,,0,0,0,0,676,-3,121,0,0,7894,7894,702,0,10073,0,3,63,15806,0,10,27,0,0
Effort,Nami,SUPPORT,15,1,0,11,Perfect KDA,15,0,,0.4,9682,252,13.3%,123,67,13,19,19,3.2,1.74,0.49,0.34,31.9%,6485,466,6019,0,169,8.1%,0.31,80%,,0,0,0,0,171,-2,-616,0,0,898,898,18479,14121,5757,2860,28,157,8721,0,21,38,0,0
kingen,Sion,TOP,17,0,2,1,0.5,257,8,,6.7,10845,282,18.7%,40,18,7,12,12,1.04,0.47,0.31,0.18,12.3%,13581,7964,5615,2,354,20.4%,0.03,50%,,0,0,0,0,-860,-16,-820,-1,0,94,94,3100,0,61267,0,38,639,26909,32,13,32,0,0
Clid,Sejuani,JUNGLE,15,1,3,1,0.7,174,144,,4.5,9963,259,17.1%,78,13,24,12,11,2.03,0.34,0.31,0.63,23.9%,4451,1921,2201,329,116,6.7%,0.05,100%,,0,0,0,0,-594,-11,-461,0,0,0,0,5124,2687,40222,0,13,368,28818,57,13,30,0,0
Zeka,Azir,MID,18,0,4,1,0.3,389,12,,10.1,14230,371,24.5%,45,17,7,5,5,1.17,0.44,0.13,0.18,13.8%,21882,781,21101,0,570,32.9%,0.03,50%,,0,0,0,0,52,19,-46,0,0,1997,1997,697,0,13857,0,14,318,23463,132,7,26,0,50
Viper,Zeri,ADC,17,1,3,1,0.7,433,41,,11.3,15801,411,27.2%,50,14,19,2,2,1.3,0.36,0.05,0.49,15.3%,23112,17459,5133,520,602,34.8%,0.05,100%,,0,0,0,0,-676,3,-121,0,0,586,586,118,0,25448,0,6,247,17948,59,4,25,0,200
Life,Lulu,SUPPORT,14,0,3,2,0.7,17,0,,0.4,7256,189,12.5%,113,81,10,18,17,2.94,2.11,0.47,0.26,34.7%,3445,330,3115,0,90,5.2%,0.05,100%,,0,0,0,0,-171,2,616,0,0,153,153,822,492,5005,5999,18,221,10029,51,20,34,0,0
Morgan,K,TOP,14,2,1,0,2,202,0,,7.4,9619,350,22.6%,28,8,7,7,6,1.02,0.29,0.26,0.26,13.6%,6705,5158,451,1096,244,24.3%,0.07,100%,,0,0,0,0,452,-12,-939,-1,0,4646,4646,1418,0,18200,430,14,1677,10686,0,9,26,0,50
UmTi,Vi,JUNGLE,12,0,2,2,1,146,123,,5.3,8291,302,19.5%,41,12,10,15,11,1.49,0.44,0.55,0.36,19.9%,4342,3709,241,392,158,15.7%,0.07,100%,,0,0,0,0,384,-2,272,1,0,313,313,1673,139,36663,0,12,219,20907,54,17,28,0,0
Karis,Viktor,MID,14,0,1,0,0,249,0,,9.1,9258,337,21.7%,30,7,9,5,5,1.09,0.26,0.18,0.33,14.6%,9228,523,8555,150,336,33.4%,0,0%,,0,0,0,0,-280,3,562,1,0,1138,1138,965,0,13356,0,4,86,13221,0,6,19,0,0
