Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Version,Date,Team,Result
Canna,Renekton,TOP,16,1,4,2,0.8,256,4,8.1,11463,362,0.226,17,8,1,4,2,0.54,0.25,0.13,0.03,0.077,10156,8178,1978,0,321,0.18,0.09,0.6,0,0,0,0,0,-270,-10,-1045,-1,0,2940,2940,8554,0,32026,0,11,40,30444,116,5,23,0,0,13.14,8/5/2023,Dplus KIA,Lose
Canyon,Maokai,JUNGLE,13,1,4,2,0.8,154,128,4.9,8892,281,0.175,41,9,15,8,6,1.3,0.28,0.25,0.47,0.186,8213,310,7279,624,260,0.145,0.09,0.6,0,0,0,0,0,-839,-5,-765,0,0,0,0,17499,1399,46101,0,41,600,32825,151,9,22,0,0,13.14,8/5/2023,Dplus KIA,Lose
ShowMaker,Jayce,MID,15,2,4,2,1,246,4,7.8,10892,344,0.214,42,13,11,6,6,1.33,0.41,0.19,0.35,0.19,15335,13173,2162,0,485,0.271,0.13,0.8,0,0,0,0,0,-1661,-27,-1324,-1,0,2760,2760,821,0,8874,0,4,70,12686,99,6,26,50,50,13.14,8/5/2023,Dplus KIA,Lose
Deft,Aphelios,ADC,15,1,2,4,2.5,316,24,10.0,13361,422,0.263,44,15,13,6,5,1.39,0.47,0.19,0.41,0.199,20353,19050,699,604,643,0.36,0.16,1.0,0,0,0,0,0,-261,-18,-987,-1,0,3213,3213,2971,0,13713,0,19,209,8797,21,7,24,0,50,13.14,8/5/2023,Dplus KIA,Lose
kingen,Aatrox,TOP,17,4,1,5,9,256,16,8.1,13250,419,0.203,44,13,9,9,9,1.39,0.41,0.28,0.28,0.144,20481,20481,0,0,647,0.271,0.28,0.5,0,1,0,0,0,270,10,1045,1,0,273,273,14415,0,24400,0,22,156,27877,37,10,30,50,50,13.14,8/5/2023,HLE,Win
Grizzly,Sejuani,JUNGLE,16,3,1,10,13,194,178,6.1,12512,396,0.192,48,13,10,12,11,1.52,0.41,0.38,0.32,0.157,8806,4537,3732,537,278,0.116,0.41,0.722,0,0,0,0,0,839,5,765,0,0,1427,1427,19609,3597,54772,0,20,406,30480,39,13,26,50,0,13.14,8/5/2023,HLE,Win
Zeka,Ahri,MID,17,2,0,11,Perfect KDA,312,4,9.9,14919,472,0.229,62,30,10,14,14,1.96,0.95,0.44,0.32,0.203,21683,2060,13330,6293,685,0.287,0.41,0.722,1,0,0,0,0,1661,27,1324,1,0,7570,7570,4289,0,7357,0,20,88,11877,0,17,36,0,0,13.14,8/5/2023,HLE,Win
Viper,Kai'Sa,ADC,17,9,0,2,Perfect KDA,342,40,10.8,16573,524,0.254,59,15,14,7,6,1.87,0.47,0.22,0.44,0.193,20955,6704,14002,249,662,0.277,0.35,0.611,0,1,0,0,0,261,18,987,1,0,11438,11438,3811,0,7779,0,1,81,10544,0,7,27,0,0,13.14,8/5/2023,HLE,Win
Life,Alistar,SUPPORT,12,0,3,11,3.7,28,0,0.9,7907,250,0.121,92,56,7,21,20,2.91,1.77,0.66,0.22,0.302,3681,493,2019,1169,116,0.049,0.35,0.611,0,0,0,0,0,-106,-6,-316,-1,0,112,112,5812,3472,16593,0,29,156,14225,69,23,37,0,0,13.14,8/5/2023,HLE,Win
Canna,Jax,TOP,17,3,2,4,3.5,307,16,9.0,14277,419,0.247,51,23,8,13,12,1.5,0.67,0.38,0.23,0.145,15439,8414,6720,305,453,0.208,0.21,0.7,0,0,0,0,0,324,15,694,1,0,9247,9247,7309,0,25576,0,13,195,27715,48,15,32,0,100,13.14,8/5/2023,Dplus KIA,Lose
Canyon,Vi,JUNGLE,15,1,5,5,1.2,201,191,5.9,10337,303,0.179,56,16,9,15,15,1.64,0.47,0.44,0.26,0.159,5410,5061,0,349,159,0.073,0.18,0.6,0,0,0,0,0,-29,-23,-745,0,0,0,0,10818,0,29344,0,14,381,26996,122,16,32,0,0,13.14,8/5/2023,Dplus KIA,Lose
